flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-13T09:05:00+00:00,landed,Delta Air Lines,DL8523,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,Gol,G35280,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,SWISS,LX4602,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,Air Mauritius,MK9553,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,China Eastern Airlines,MU1878,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,SAS,SK9843,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,Air Europa,UX2211,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,Vietnam Airlines,VN3143,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,WestJet,WS5175,None,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T09:05:00+00:00,landed,Air France,AF1543,BCS3,None,Geneve-cointrin,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T07:15:00+00:00,landed,British Airways,BA304,A320,None,Heathrow,2024-11-13T07:15:00+00:00,Charles De Gaulle,2024-11-13T09:35:00+00:00
